period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2017-07-23,2017-08-19,5,Tram,2.10
2017-08-20,2017-09-16,6,Tram,2.20
2017-09-17,2017-10-14,7,Tram,2.50
2017-10-15,2017-11-11,8,Tram,2.30
2017-11-12,2017-12-09,9,Tram,2.40
2017-12-10,2018-01-06,10,Tram,1.90
2018-01-07,2018-02-03,11,Tram,2.20
2018-02-04,2018-03-03,12,Tram,2.20
2018-03-04,2018-03-31,13,Tram,2.20
2018-04-01,2018-04-28,1,Tram,1.90
2018-04-29,2018-05-26,2,Tram,2.30
2018-05-27,2018-06-23,3,Tram,2.30
2018-06-24,2018-07-21,4,Tram,2.40
2018-07-22,2018-08-18,5,Tram,2.10
2018-08-19,2018-09-15,6,Tram,2.20
2018-09-16,2018-10-13,7,Tram,2.40
2018-10-14,2018-11-10,8,Tram,2.30
2018-11-11,2018-12-08,9,Tram,2.40
2018-12-09,2019-01-05,10,Tram,1.90
2019-01-06,2019-02-02,11,Tram,2.20
2019-02-03,2019-03-02,12,Tram,2.20
2019-03-03,2019-03-31,13,Tram,2.20
2019-04-01,2019-04-27,1,Tram,2.00
2019-04-28,2019-05-25,2,Tram,2.20
2019-05-26,2019-06-22,3,Tram,2.20
2019-06-23,2019-07-20,4,Tram,2.30
2019-07-21,2019-08-17,5,Tram,2.00
2019-08-18,2019-09-14,6,Tram,1.60
2019-09-15,2019-10-12,7,Tram,2.30
2019-10-13,2019-11-09,8,Tram,2.20
2019-11-10,2019-12-07,9,Tram,2.30
2019-12-08,2020-01-04,10,Tram,1.90
2020-01-05,2020-02-01,11,Tram,2.30
2020-02-02,2020-02-29,12,Tram,2.20
2020-03-01,2020-03-31,13,Tram,1.60
2020-04-01,2020-05-02,1,Tram,0.40
2020-05-03,2020-05-30,2,Tram,0.50
2020-05-31,2020-06-27,3,Tram,0.70
2020-06-28,2020-07-25,4,Tram,1.00
2020-07-26,2020-08-22,5,Tram,1.00
2020-08-23,2020-09-19,6,Tram,1.20
2020-09-20,2020-10-17,7,Tram,1.40
2020-10-18,2020-11-14,8,Tram,1.00
2010-04-01,2010-05-01,1,Overground,0.00
2010-05-02,2010-05-29,2,Overground,0.00
2010-05-30,2010-06-26,3,Overground,0.00
2010-06-27,2010-07-24,4,Overground,0.00
2010-07-25,2010-08-21,5,Overground,0.00
2010-08-22,2010-09-18,6,Overground,0.00
2010-09-19,2010-10-16,7,Overground,0.00
2010-10-17,2010-11-13,8,Overground,5.60
2010-11-14,2010-12-11,9,Overground,5.40
2010-12-12,2011-01-08,10,Overground,3.50
2011-01-09,2011-02-05,11,Overground,5.20
2011-02-06,2011-03-05,12,Overground,5.20
2011-03-06,2011-03-31,13,Overground,5.80
2011-04-01,2011-04-30,1,Overground,6.30
2011-05-01,2011-05-28,2,Overground,6.40
2011-05-29,2011-06-25,3,Overground,6.90
2011-06-26,2011-07-23,4,Overground,7.60
2011-07-24,2011-08-20,5,Overground,7.70
2011-08-21,2011-09-17,6,Overground,7.70
2011-09-18,2011-10-15,7,Overground,8.70
2011-10-16,2011-11-12,8,Overground,8.80
2011-11-13,2011-12-10,9,Overground,9.00
2011-12-11,2012-01-07,10,Overground,6.90
2012-01-08,2012-02-04,11,Overground,8.70
